country,year,population,gdp,electricity_demand,electricity_generation,fossil_electricity,renewables_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,primary_energy_consumption,greenhouse_gas_emissions,carbon_intensity_elec
Australia,2019,25482714.0,1255505542015.0,265.8999938964844,265.8999938964844,210.63999938964844,55.2599983215332,0.0,149.83999633789062,55.709999084472656,5.090000152587891,18.299999237060547,19.469999313354492,14.020000457763672,1680.292724609375,178.17999267578125,670.0999755859375
Australia,2020,25743787.0,1232259790388.0,265.1499938964844,265.1499938964844,200.8699951171875,64.27999877929688,0.0,142.92999267578125,53.04999923706055,4.889999866485596,23.84000015258789,22.61000061035156,14.420000076293944,1585.4119873046875,170.30999755859375,642.3200073242188
Australia,2021,25956417.0,1296705194119.0,267.45001220703125,267.45001220703125,190.17999267578125,77.2699966430664,0.0,137.39999389648438,47.630001068115234,5.150000095367432,31.190000534057617,26.799999237060547,15.9399995803833,1589.322998046875,162.0500030517578,605.9099731445312
Australia,2022,26200987.0,1344251444393.0,272.9200134277344,272.9200134277344,185.47999572753903,87.44000244140625,0.0,129.2100067138672,50.81999969482422,5.449999809265137,37.540000915527344,30.049999237060547,16.65999984741211,1660.789794921875,157.7100067138672,577.8599853515625
Australia,2023,26451126.0,1391797694667.0,273.1099853515625,273.1099853515625,178.0399932861328,95.06999969482422,0.0,125.61000061035156,46.66999816894531,5.760000228881836,44.9900016784668,31.8700008392334,15.079999923706056,1657.376708984375,152.0399932861328,556.7000122070312
Brazil,2000,174018278.0,1739728033832.0,391.9200134277344,348.92999267578125,30.6200008392334,312.260009765625,6.050000190734863,10.93000030517578,4.070000171661377,15.619999885559082,0.0,0.0,304.3999938964844,2364.255126953125,31.209999084472656,89.44999694824219
Brazil,2001,176301201.0,1785513006345.0,366.3999938964844,328.54998779296875,37.34000015258789,276.92999267578125,14.279999732971191,11.079999923706056,9.920000076293944,16.34000015258789,0.0,0.0299999993294477,267.8800048828125,2304.05126953125,34.7400016784668,105.73999786376952
Brazil,2002,178503485.0,1861742323845.0,382.2799987792969,345.7200012207031,35.459999084472656,296.4200134277344,13.84000015258789,9.119999885559082,12.40999984741211,13.93000030517578,0.0,0.0599999986588954,286.0899963378906,2351.53515625,33.63999938964844,97.3000030517578
Brazil,2003,180622688.0,1904932706436.0,402.5799865722656,364.3900146484375,33.40999984741211,317.6199951171875,13.359999656677246,9.010000228881836,13.109999656677246,11.289999961853027,0.0,0.0599999986588954,305.6199951171875,2386.333984375,33.040000915527344,90.66999816894533
Brazil,2004,182675144.0,2038447931287.0,424.8699951171875,387.489990234375,42.5,333.3800048828125,11.609999656677246,10.369999885559082,19.260000228881836,12.869999885559082,0.0,0.0599999986588954,320.79998779296875,2503.37255859375,39.439998626708984,101.77999877929688
Brazil,2005,184688101.0,2129214530430.0,442.1099853515625,403.0700073242187,42.029998779296875,351.19000244140625,9.850000381469728,10.68000030517578,18.809999465942383,12.539999961853027,0.0,0.0900000035762786,337.4599914550781,2569.062744140625,39.86000061035156,98.88999938964844
Brazil,2006,186653099.0,2240805319046.0,460.6099853515625,419.4500122070313,41.810001373291016,363.8900146484375,13.75,10.470000267028809,18.260000228881836,13.079999923706056,0.0,0.2399999946355819,348.79998779296875,2641.58251953125,40.25,95.95999908447266
Brazil,2007,188552311.0,2405626901513.0,483.9800109863281,445.1499938964844,40.060001373291016,392.739990234375,12.350000381469728,10.079999923706056,15.5,14.479999542236328,0.0,0.6600000262260437,374.0199890136719,2810.54345703125,40.470001220703125,90.91000366210938
Brazil,2008,190367297.0,2559842659987.0,505.3900146484375,463.1799926757813,58.68000030517578,390.5299987792969,13.970000267028809,11.960000038146973,28.780000686645508,17.940000534057617,0.0,1.1799999475479126,369.55999755859375,2936.353759765625,52.630001068115234,113.62999725341795
Brazil,2009,192079958.0,2589568436235.0,506.1499938964844,466.1700134277344,38.099998474121094,415.1099853515625,12.960000038146973,9.970000267028809,13.329999923706056,14.800000190734863,0.0,1.2400000095367432,390.989990234375,2925.52001953125,40.72999954223633,87.37000274658203
Brazil,2010,193701931.0,2820492538862.0,550.4500122070312,515.7999877929688,63.869998931884766,437.4100036621094,14.520000457763672,11.289999961853027,36.47999954223633,16.100000381469727,0.0,2.180000066757202,403.2900085449219,3188.734619140625,58.880001068115234,114.1500015258789
Brazil,2011,195284736.0,2968455007203.0,567.6500244140625,531.760009765625,52.439998626708984,463.6600036621094,15.65999984741211,12.600000381469728,25.100000381469727,14.739999771118164,0.0,2.700000047683716,428.3299865722656,3316.3232421875,53.04999923706055,99.76000213623048
Brazil,2012,196876113.0,3025484250011.0,592.760009765625,552.5,80.30000305175781,456.1600036621094,16.040000915527344,14.470000267028809,46.7599983215332,19.06999969482422,0.0,5.050000190734863,415.3399963378906,3408.334716796875,70.91000366210938,128.33999633789062
Brazil,2013,198478290.0,3116394665745.0,611.1599731445312,570.8300170898438,116.83999633789062,438.5400085449219,15.449999809265137,21.969999313354492,69.0,25.8700008392334,0.0,6.579999923706055,390.989990234375,3500.955078125,95.80999755859376,167.83999633789062
Brazil,2014,200085126.0,3132099937531.0,624.3300170898438,590.5499877929688,142.4199981689453,432.75,15.380000114440918,26.899999618530273,81.06999969482422,34.45000076293945,0.0199999995529651,12.210000038146973,373.44000244140625,3575.63525390625,113.94000244140624,192.94000244140625
Brazil,2015,201675534.0,3021043246476.0,615.6400146484375,581.219970703125,135.17999267578125,431.30999755859375,14.729999542236328,26.979999542236328,79.48999786376953,28.709999084472656,0.0599999986588954,21.6299991607666,359.739990234375,3535.438232421875,109.63999938964844,188.63999938964844
Brazil,2016,203218108.0,2922076150345.0,619.6799926757812,578.8900146484375,97.20999908447266,465.8200073242187,15.859999656677246,25.670000076293945,56.47999954223633,15.0600004196167,0.0900000035762786,33.4900016784668,380.9100036621094,3451.454345703125,86.62999725341797,149.64999389648438
Brazil,2017,204703440.0,2960731613785.0,625.6699829101562,589.3200073242188,106.55999755859376,467.0199890136719,15.739999771118164,22.850000381469727,65.58999633789062,18.1200008392334,0.8299999833106995,42.369998931884766,370.9100036621094,3477.62890625,91.86000061035156,155.8800048828125
Brazil,2018,206107265.0,3013541086239.0,636.3699951171875,601.3900146484375,90.43000030517578,495.2900085449219,15.670000076293944,20.799999237060547,54.619998931884766,15.010000228881836,3.4600000381469727,48.47999954223633,388.9700012207031,3486.3779296875,82.36000061035156,136.9499969482422
Brazil,2019,207455459.0,3050327159562.0,658.2899780273438,633.3300170898438,101.76000213623048,515.4400024414062,16.1299991607666,21.68000030517578,65.95999908447266,14.119999885559082,6.650000095367432,55.9900016784668,397.8800048828125,3567.01904296875,89.88999938964844,141.92999267578125
Brazil,2020,208660845.0,2950377451264.0,653.47998046875,628.760009765625,91.79000091552734,522.9199829101562,14.050000190734863,17.75,59.47999954223633,14.5600004196167,10.75,57.04999923706055,396.3800048828125,3422.42919921875,83.8499984741211,133.36000061035156
Brazil,2021,209550291.0,3097565215045.0,679.5,656.4000244140625,133.8300018310547,507.8699951171875,14.699999809265137,24.239999771118164,86.95999908447266,22.6299991607666,16.75,72.29000091552734,362.8200073242187,3581.19873046875,110.31999969482422,168.07000732421875
Brazil,2022,210306411.0,3187412907763.0,690.0700073242188,677.1599731445312,68.70999908447266,593.8900146484375,14.5600004196167,14.399999618530272,42.11000061035156,12.199999809265137,30.1299991607666,81.62999725341797,427.1099853515625,3731.717529296875,70.01000213623047,103.38999938964844
Brazil,2023,211140731.0,3277260600481.0,723.22998046875,708.1199951171875,63.43000030517578,630.1900024414062,14.5,13.3100004196167,38.59000015258789,11.529999732971191,50.630001068115234,95.8000030517578,426.0,3853.746337890625,68.16000366210938,96.26000213623048
Canada,2000,30891800.0,1137681278760.0,567.989990234375,603.8200073242188,165.57000732421875,365.9599914550781,72.29000091552734,116.2300033569336,35.83000183105469,13.510000228881836,0.0199999995529651,0.2599999904632568,356.760009765625,3647.489501953125,148.35000610351562,245.69000244140625
Canada,2001,31213578.0,1161459919261.0,565.4600219726562,587.760009765625,170.05999755859375,341.5400085449219,76.16000366210938,111.69000244140624,42.290000915527344,16.079999923706055,0.0199999995529651,0.3300000131130218,331.5199890136719,3572.097900390625,150.25999450683594,255.6499938964844
